feature,mean_normal,mean_recession,difference,t_statistic,p_value,significant
inflation_yoy,3.613,6.666,3.053,-5.963,0.0,Yes
core_inflation_yoy,3.591,6.229,2.639,-5.825,0.0,Yes
infl_exp,2.015,1.184,-0.831,3.392,0.003,Yes
unemployment_change,-0.21,1.531,1.741,-9.285,0.0,Yes
payroll_growth,-1.735,0.41,2.145,-7.262,0.0,Yes
jobless_claims_ma,-0.043,0.292,0.334,-11.234,0.0,Yes
fsi,-0.196,2.163,2.359,-8.26,0.0,Yes
custom_fsi,-0.28,0.003,0.283,-1.298,0.199,No
real_rate,0.904,0.871,-0.034,0.086,0.932,No
yield_spread,-0.849,-0.853,-0.004,0.031,0.975,No
fed_funds_change,0.106,-1.278,-1.384,3.544,0.001,Yes
indpro_growth,-2.651,3.753,6.404,-10.115,0.0,Yes
retail_growth,-5.317,2.792,8.109,-6.07,0.0,Yes
m2_growth,6.742,7.525,0.784,-2.588,0.011,Yes
credit_spread,2.183,3.416,1.234,-6.041,0.0,Yes
vix_zscore,-0.123,1.789,1.912,-5.753,0.0,Yes
ted_spread,0.503,0.988,0.485,-4.629,0.0,Yes
credit_spread_chg,-0.034,0.357,0.391,-2.816,0.008,Yes
yield_curve_chg,0.044,-0.39,-0.434,4.52,0.0,Yes
vix_chg,0.991,3.408,2.417,-1.741,0.09,No
