,importance
Labour,0.08647109
DFM_F2_mom6,0.07134923
Labour_lag6,0.05740378
DFM_F2_lag6,0.054372985
Real_lag3,0.049937163
Monetary_vol6,0.04903624
Monetary_mom6,0.04409192
Labour_mom3,0.04302093
Labour_mom6,0.04071104
Financial,0.03968743
Real_lag1,0.038117737
Labour_lag1,0.037370022
Inflation_lag3,0.033334054
Monetary_lag6,0.032692578
Monetary_lag3,0.030621253
Labour_lag3,0.029626215
Labour_vol6,0.024676405
DFM_F2_lag1,0.023275562
Real_mom3,0.02228782
Labour_delta1,0.019646036
DFM_F2_mom3,0.018991366
Real_lag6,0.01708112
Real_mom6,0.016527131
Real_delta1,0.015341229
DFM_F2_delta1,0.015050224
Monetary_mom3,0.013268523
Monetary,0.010932633
Real,0.009761804
Financial_vol6,0.008413523
Monetary_delta1,0.0071245725
Financial_lag6,0.0066539766
DFM_F1_lag6,0.006515701
DFM_F1_mom3,0.006174904
DFM_F1_vol6,0.0053570466
Monetary_lag1,0.003101159
DFM_F2_lag3,0.0029837913
DFM_F2,0.002432028
DFM_F2_vol6,0.0017075494
Inflation_delta1,0.001434412
DFM_F1,0.0012969114
Inflation_mom6,0.0011786621
Inflation_vol6,0.00094225636
Financial_delta1,0.0
Financial_mom3,0.0
Inflation_lag1,0.0
Inflation_mom3,0.0
Inflation,0.0
Inflation_lag6,0.0
Financial_mom6,0.0
Real_vol6,0.0
Financial_lag3,0.0
Financial_lag1,0.0
DFM_F1_lag3,0.0
DFM_F1_lag1,0.0
DFM_F1_mom6,0.0
DFM_F1_delta1,0.0
